sample;ploidy;run1;run2;run3;run4;run5
n_VJZS8_080;3;-8082.169;-8028.121;-8217.626;-8061.184;-8046.681
n_VJZS8_080;4;-8146.625;-8027.843;-8055.775;-8034.432;-8177.282
n_ZSS2_093;2;-8019.314;-8184.197;-8041.272;-8241.05;-8025.508
n_ZSS2_093;3;-8183.694;-8037.16;-999999.99;-999999.99;-999999.99
n_ZSS5_157;2;-8049.39;-999999.99;-8066.575;-8178.493;-8053.548
n_ZSS5_157;3;-8068.99;-999999.99;-999999.99;-999999.99;-999999.99
n_ZSS8_094;3;-8160.393;-8074.359;-8219.438;-8134.19;-8059.263
n_ZSS8_094;4;-8156.95;-8204.43;-8063.374;-8179.944;-8094.162
var_BOB2_057;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
var_BOB2_057;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
var_HGNA2_036;1;-8113.186;-8089.657;-8037.312;-8042.697;-8074.125
var_HGNA2_036;2;-8259.232;-8055.155;-8037.414;-8320.455;-999999.99
var_OLS18_015;2;0;-999999.99;-8038.387;-8163.276;-8214.591
var_OLS20_127;1;-8178.936;-8093.992;-8215.046;-999999.99;-999999.99
var_PPJ1_056;2;-8170.19;-8087.462;-8173.398;-8077.902;-8089.58
var_STR13_120;1;-8106.244;-8118.397;-8155.714;-8127.82;-8077.894
var_STR13_120;2;-8243.467;-8165.181;-8182.237;-8120.522;-8086.267
var_VLS8_017;1;-8065.1;-8265.39;-8061.623;-8114.767;-8067.707
var_VLS8_017;2;-8156.532;-8165.908;-8097.92;-8164.796;-8085.978
