sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_PRS8_084;3;-8105.652;-8188.656;-8141.12;-8225.978;-999999.99;-8145.143;3;NA;Cannot_compare
n_RIS2_009;2;-8133.147;-8083.531;-8127.573;-8059.423;-8105.3;-8114.750;4;3.789;Positive
n_RIS2_009;3;-8141.695;-8068.653;-8089.763;-8075.319;-8203.965;-8100.037;4;3.789;Positive
n_RIS2_009;4;-8097.359;-8064.758;-8126.628;-8189.505;-8065.913;-8096.248;4;3.789;Positive
n_RIS5_010;2;-8155.626;-8077.339;-8041.935;-8078.634;-8164.219;-8091.633;3;38.685;Strong
n_RIS5_010;3;-8039.006;-8032.5;-8034.692;-8097.203;-8044.867;-8035.399;3;38.685;Strong
n_RIS5_010;4;-8123.075;-8035.679;-8063.5;-8068.84;-8222.029;-8074.085;3;38.685;Strong
n_RRK10_040;2;-8277.93;-8247.542;-8226.246;-8136.628;-8147.86;-8250.573;4;85.063;Strong
n_RRK10_040;4;-8165.51;-999999.99;-999999.99;-8149.883;-8135.91;-8165.510;4;85.063;Strong
n_RRK2_039;2;-8099.636;-8083.193;-8081.797;-999999.99;-999999.99;-8088.209;2;57.728;Strong
n_RRK2_039;4;-8158.66;-8133.213;Error:Couldnotfindfile"output/stepping_stone_n_RRK2_039_4.out";-8181.317;-8071.652;-8145.936;2;57.728;Strong
n_RRK5_134;3;-8190.21;-8163.799;-8132.631;-8193.338;-8206.868;-8162.213;3;23.526;Strong
n_RRK5_134;4;-8143.115;-8144.269;-8269.834;-8292.582;-8168.878;-8185.739;3;23.526;Strong
n_SMB2_058;2;-8050.477;-8084.189;-8071.937;-8038.663;-8035.02;-8068.868;2;35.624;Strong
n_SMB2_058;3;-8166.566;-8087.663;-8120.59;-8098.406;-8055.933;-8124.940;2;35.624;Strong
n_SMB2_058;4;-8091.211;-8145.663;-8076.6;-8175.846;-8070.433;-8104.491;2;35.624;Strong
n_SMB5_141;2;-8113.766;-8069.519;-8155.676;-8065.259;-8062.068;-8112.987;3;23.355;Strong
